,MasterObjRes,MasterObjRel,Epsilon,MasterTime,LLTime
0,743.8121106802927,-inf,0.0,0.8968672752380371,0.0
1,[747.90871746],380.9562237971621,-2.483036484541751,1.7771306037902832,0.011528491973876953
2,[588.67126687],476.6177586152554,-1.1087316317637548,1.8776257038116455,0.014735698699951172
3,[581.2506654],493.4193442357836,-0.4870157880991268,1.9408581256866455,0.011937856674194336
4,[544.64099054],496.7269479170098,-0.332929996793613,1.9482922554016113,0.012593507766723633
5,[531.74877613],498.05015861392786,-0.18726296947514598,1.8291678428649902,0.017082929611206055
6,[517.77558555],498.50274366688495,-0.17036975892814787,1.849367380142212,0.026691675186157227
7,[516.64334805],499.9300838937576,-0.14478701221062273,1.8116843700408936,0.014069795608520508
8,[515.56649277],501.35303074058953,-0.04232404646673871,1.804198980331421,0.058142662048339844
9,[505.95701621],503.15702455908644,-0.029545663442473113,1.8144862651824951,0.04979825019836426
10,[505.95693129],503.8339714999057,-0.0033120985160284278,1.8065085411071777,0.05286288261413574
11,[504.19006675],503.83476688809174,-0.0015496125567366903,1.8429546356201172,0.03644394874572754
12,[504.00184543],503.895065781711,-0.000775827460927303,1.863041639328003,0.037113189697265625
13,[503.97888641],503.89940407721457,-9.477502982768726e-05,1.8782453536987305,0.05702853202819824
14,[503.9090854],503.8971964454559,-2.544817657756937e-05,1.831380844116211,0.06899309158325195
15,[503.89987366],503.8933077873425,-3.3300950462944456e-05,1.83378267288208,0.05602431297302246
16,[503.89681073],503.8927929482332,-3.5076438109626906e-07,1.8315370082855225,0.06023287773132324
17,[503.89283727],503.8910831339022,-6.822371787507109e-07,1.8299272060394287,0.06612634658813477
18,[503.89115902],503.88974778715703,-8.468625445345879e-08,1.8654940128326416,0.07218480110168457
19,[503.88975897],503.8885017725747,-1.089372849705228e-06,1.847041130065918,0.05941891670227051
20,[503.88862316],503.88755273147274,1.7176295941112585e-08,1.881742000579834,0.07481575012207031
