,MasterObjRes,MasterObjRel,Epsilon,MasterTime,LLTime
0,743.8121106659243,-inf,0.0,0.7115867137908936,0.0
1,[747.9083388],380.9563970221639,-2.483029726978737,1.4496352672576904,0.009973764419555664
2,[588.67099457],476.61774782144454,-1.1087314374805235,1.4544868469238281,0.011968374252319336
3,[581.25057491],493.41938619887435,-0.48701372915302876,1.6923551559448242,0.013962984085083008
4,[544.64082974],496.7269491750675,-0.33292987585643985,1.8764848709106445,0.01495981216430664
5,[531.74874054],498.05015544529965,-0.18726527120032266,1.7136998176574707,0.01795196533203125
6,[517.77583299],498.5027443812039,-0.1703697321579476,1.7069587707519531,0.05186152458190918
7,[516.64332164],499.9300962684976,-0.14478581947722802,1.676875352859497,0.014998674392700195
8,[515.56636918],501.35301854210826,-0.04232353742191819,1.5777747631072998,0.045876502990722656
9,[505.95696175],503.1553555588869,-0.02955354513409425,1.6149661540985107,0.04288744926452637
10,[505.95687988],503.831855660753,-0.003334369245481028,1.6870532035827637,0.03893089294433594
11,[504.19036228],503.83339615157774,-0.0016374234787690511,1.6634092330932617,0.03490757942199707
12,[504.00997832],503.89729088740364,-0.0007631652921986642,1.618506669998169,0.06283116340637207
13,[503.97978136],503.90057789783197,-9.531283864561146e-05,1.7419250011444092,0.04787135124206543
14,[503.91028567],503.89823375841706,-2.7567745929601983e-05,2.158959150314331,0.05280470848083496
15,[503.90113667],503.89427267321645,-3.015497998504202e-05,1.982891321182251,0.047872066497802734
16,[503.89745383],503.89339430033453,-1.1416463419067213e-06,2.001706838607788,0.0588068962097168
17,[503.89351951],503.891667758956,-5.499770310279928e-07,1.987318515777588,0.05481743812561035
18,[503.89173018],503.8900570730274,-2.138184338917881e-06,2.1188805103302,0.06283187866210938
19,[503.89029237],503.88897606746633,6.8430132671437605e-09,1.896944522857666,0.06279611587524414
20,[503.88898012],503.8879025894394,-3.873985381375178e-07,1.856809139251709,0.060799598693847656
