param n := 5;
param p_max := 4000;
param r_dim := 0;

param Q_ref : 1  2  3  4  5 :=
   1 -0.629531 -0.662649 -0.425179 1.165568 1.306430 
   2 -0.662649 -0.664338 0.767167 1.608403 1.292780 
   3 -0.425179 0.767167 -0.807007 0.051714 -0.066664 
   4 1.165568 1.608403 0.051714 1.038454 -1.276980 
   5 1.306430 1.292780 -0.066664 -1.276980 -1.325055 ;

param q_ref := 1 1.068205 2 -1.494021 3 -1.068895 4 1.293644 5 0.900470 ;

param c_ref := 2.193561 ;


param w: 1  2  3  4  5 :=
   1 0.617033 0.211260 0.488525 0.147769 0.845741 
   2 0.787150 0.261807 0.940737 0.659850 0.875248 
   3 0.807428 0.610601 0.859784 0.755097 0.867780 
   4 0.227911 0.793747 0.871587 0.508292 0.889510 
   5 0.507462 0.596519 0.350929 0.544267 0.357453 
   6 0.305575 0.491105 0.573036 0.948386 0.952768 
   7 0.859159 0.681506 0.735034 0.691061 0.464334 
   8 0.911380 0.993617 0.213866 0.799449 0.085726 
   9 0.349436 0.085873 0.198461 0.914078 0.701061 
   10 0.639522 0.919817 0.255975 0.645512 0.256016 
   11 0.278958 0.897471 0.343218 0.090334 0.105234 
   12 0.840176 0.235124 0.016189 0.481121 0.277459 
   13 0.429052 0.048489 0.469388 0.092503 0.273461 
   14 0.001586 0.306105 0.258557 0.368066 0.507815 
   15 0.465981 0.789736 0.648844 0.138606 0.739133 
   16 0.249948 0.515174 0.566362 0.508394 0.963840 
   17 0.756437 0.488348 0.187506 0.916263 0.769355 
   18 0.859877 0.378612 0.142737 0.171075 0.248840 
   19 0.624513 0.577033 0.515418 0.211358 0.495859 
   20 0.108894 0.017462 0.643569 0.147152 0.543898 
   21 0.471463 0.599226 0.042793 0.160018 0.651672 
   22 0.766089 0.197354 0.655211 0.685900 0.886668 
   23 0.341272 0.320849 0.957120 0.301020 0.384925 
   24 0.296030 0.395249 0.806674 0.432560 0.701343 
   25 0.791138 0.268977 0.833393 0.318305 0.865598 
   26 0.076564 0.658552 0.732162 0.434308 0.542738 
   27 0.476356 0.325548 0.212936 0.902952 0.527348 
   28 0.108119 0.950770 0.504830 0.935699 0.883631 
   29 0.393012 0.595993 0.741436 0.996554 0.806285 
   30 0.224261 0.884962 0.013819 0.003740 0.956180 
   31 0.703296 0.669765 0.027281 0.806171 0.436749 
   32 0.716380 0.969088 0.034088 0.082345 0.087220 
