param n := 13;
param p_max := 4000;
param r_dim := 0;

param Q_ref : 1  2  3  4  5  6  7  8  9  10  11  12  13 :=
   1 -0.890339 0.168089 -0.764146 -1.641445 1.735536 -0.575931 0.871859 0.485602 -0.685294 1.577797 0.735503 0.871925 1.715969 
   2 0.168089 -1.019546 0.187969 0.305007 -0.732686 -0.447360 0.392916 0.096649 0.830134 -0.167905 -0.876594 0.139535 -1.189315 
   3 -0.764146 0.187969 -1.328317 0.143834 -0.101267 -1.004475 0.390121 0.877033 0.749853 0.284896 0.390753 -0.872750 0.455384 
   4 -1.641445 0.305007 0.143834 0.592805 0.007031 -0.489568 -0.497733 -0.220573 0.230273 0.443850 0.021620 0.392946 0.500024 
   5 1.735536 -0.732686 -0.101267 0.007031 1.334244 0.481208 -0.195260 0.650801 1.049495 -0.194407 0.006721 0.510862 0.521816 
   6 -0.575931 -0.447360 -1.004475 -0.489568 0.481208 1.322270 0.959907 -0.326036 -1.069665 0.716079 -0.123540 1.792090 -0.555900 
   7 0.871859 0.392916 0.390121 -0.497733 -0.195260 0.959907 0.852796 -0.073202 0.135562 -1.935095 -0.606253 -0.540313 -0.464281 
   8 0.485602 0.096649 0.877033 -0.220573 0.650801 -0.326036 -0.073202 -0.483710 -0.154456 -0.217465 -0.978178 -1.634527 0.852378 
   9 -0.685294 0.830134 0.749853 0.230273 1.049495 -1.069665 0.135562 -0.154456 -1.886936 -0.522903 0.454173 1.661235 1.373318 
   10 1.577797 -0.167905 0.284896 0.443850 -0.194407 0.716079 -1.935095 -0.217465 -0.522903 0.698004 0.676171 0.700627 -1.187827 
   11 0.735503 -0.876594 0.390753 0.021620 0.006721 -0.123540 -0.606253 -0.978178 0.454173 0.676171 0.638451 1.889030 0.164193 
   12 0.871925 0.139535 -0.872750 0.392946 0.510862 1.792090 -0.540313 -1.634527 1.661235 0.700627 1.889030 -0.534039 -0.972688 
   13 1.715969 -1.189315 0.455384 0.500024 0.521816 -0.555900 -0.464281 0.852378 1.373318 -1.187827 0.164193 -0.972688 1.477403 ;

param q_ref := 1 -0.192536 2 -0.610502 3 -0.680779 4 -0.134875 5 1.323620 6 1.832693 7 1.592585 8 0.885404 9 -0.530738 10 -0.207020 11 1.391225 12 1.039672 13 1.102911 ;

param c_ref := 0.553782 ;


param w: 1  2  3  4  5  6  7  8  9  10  11  12  13 :=
   1 0.761851 0.316249 0.235867 0.469026 0.670739 0.186508 0.452429 0.397056 0.220573 0.900280 0.909254 0.505249 0.894918 
   2 0.002937 0.265322 0.757243 0.401151 0.694167 0.216256 0.488124 0.321642 0.287861 0.786412 0.019098 0.946835 0.682486 
   3 0.703518 0.286958 0.783758 0.969015 0.378315 0.918673 0.739900 0.934827 0.729637 0.701325 0.503911 0.188435 0.312612 
   4 0.912108 0.050836 0.035862 0.254771 0.876951 0.227481 0.476843 0.411375 0.966598 0.691564 0.502526 0.029456 0.833199 
   5 0.746303 0.462226 0.690986 0.383236 0.197158 0.585886 0.635775 0.500174 0.171297 0.965745 0.764258 0.121674 0.183160 
   6 0.651855 0.466699 0.935757 0.483995 0.759083 0.489679 0.376380 0.402167 0.478637 0.278505 0.908554 0.058889 0.267548 
   7 0.429069 0.658727 0.846884 0.625164 0.070753 0.964947 0.072677 0.212150 0.004020 0.028378 0.826470 0.986190 0.601764 
   8 0.926283 0.760588 0.974782 0.958582 0.215785 0.793030 0.773949 0.443209 0.238838 0.117592 0.172926 0.109693 0.493726 
   9 0.148438 0.818197 0.004301 0.926136 0.224362 0.722281 0.533468 0.475324 0.619744 0.129869 0.683399 0.436969 0.612751 
   10 0.301228 0.293348 0.831781 0.597182 0.470582 0.001709 0.265040 0.019557 0.256660 0.857186 0.547090 0.827057 0.030214 
   11 0.279539 0.213095 0.422989 0.634569 0.276163 0.745655 0.215209 0.722552 0.422878 0.335546 0.342544 0.681392 0.321242 
   12 0.915404 0.448416 0.305314 0.418778 0.233835 0.455507 0.600619 0.468929 0.443093 0.957142 0.743997 0.909445 0.531762 
   13 0.682156 0.483187 0.676952 0.932939 0.883985 0.290354 0.629114 0.884433 0.296749 0.648010 0.913417 0.734334 0.052569 
   14 0.875275 0.766808 0.738556 0.252515 0.932419 0.410892 0.940841 0.033669 0.588710 0.603965 0.255008 0.403545 0.827946 
   15 0.666366 0.965319 0.192503 0.677841 0.251216 0.329629 0.925262 0.089310 0.540976 0.977455 0.281911 0.266905 0.507910 
   16 0.241437 0.808844 0.179888 0.002011 0.059468 0.312702 0.977373 0.042164 0.659867 0.731396 0.229608 0.996633 0.663411 
   17 0.725786 0.491199 0.164332 0.263919 0.321864 0.944661 0.493583 0.143198 0.525316 0.944907 0.962251 0.345027 0.196561 
   18 0.289741 0.019215 0.966442 0.288597 0.367196 0.324523 0.191123 0.236630 0.822009 0.089250 0.842946 0.741708 0.865532 
