,MasterObjRes,MasterObjRel,Epsilon,MasterTime,LLTime
0,382.2164589178038,-inf,0.0,1.18668794631958,0.0
1,[382.23294018],345.57966374378435,-1.5897678850854462,2.130643129348755,1.3763699531555176
2,[382.21782484],376.55744742961616,-0.1602351870651293,2.2132248878479004,47.69793105125427
3,[382.21668539],381.30446344648266,-0.045997122899925635,2.4176337718963623,254.3905839920044
4,[382.2165819],381.4901865925871,-0.02078292210330357,2.447356939315796,40.697118043899536
5,[382.21648867],381.8235490662873,-0.013666067623271161,2.3761703968048096,128.94700121879578
6,[382.21648474],381.9076802917013,-0.006096896921538031,2.370082139968872,163.00577926635742
7,[382.2022068],382.1370219769049,-0.001094007153729093,2.426875114440918,243.614972114563
8,[382.18894624],382.1519662788603,-0.0004065020042602896,2.470914125442505,276.9372730255127
9,[382.17199668],382.16496812280013,-0.00011590312165199457,2.6881308555603027,125.96997904777527
10,[382.17063442],382.1667852963054,-3.076174453675584e-05,2.648702383041382,208.28301787376404
11,[382.16829639],382.1677743108968,-1.5513099873576408e-06,2.546999931335449,154.1290328502655
12,[382.16785017],382.1675312212902,-4.982921044671684e-07,2.651002883911133,193.89130282402039
13,[382.16755761],382.1674015068849,-7.661504075606729e-07,2.648913860321045,293.34159803390503
14,[382.16744192],382.16733081435774,-1.382334417820985e-06,2.5535831451416016,173.346342086792
15,[382.16740406],382.16730328237276,-4.619620996848539e-08,2.483903169631958,390.3877079486847
