#Graph (80,508)

param n := 80;
param quadcostlevel := 0.01;
param linear_cost1 := 0.1;
param linear_cost2 := 0.1;

########Cost matrices and vectors##########

for {i in V}
    for{j in V}
        {let Q1[i,j] := 0; let Q2[i,j] := 0;
        if (i==j) then {let Q1[i,j]:=quadcostlevel*4; let Q2_fix[i,j]:= quadcostlevel;}
        else {if(j==i+1 or j==i-1) then {let Q1[i,j]:=-quadcostlevel; let Q2_fix[i,j]:=-quadcostlevel;}}
        }

for {i in V}
    {let q1[i] := linear_cost1; let q2_fix[i] := linear_cost2;}

#######Adjacency matrix########

for {i in V}
    for{j in V}
        let M[i,j] :=0;

let M[1,14] := 1;
let M[2,37] := 1;
let M[2,75] := 1;
let M[2,14] := 1;
let M[3,54] := 1;
let M[3,46] := 1;
let M[3,37] := 1;
let M[3,28] := 1;
let M[3,5] := 1;
let M[3,60] := 1;
let M[3,57] := 1;
let M[3,44] := 1;
let M[3,63] := 1;
let M[3,40] := 1;
let M[3,69] := 1;
let M[3,25] := 1;
let M[3,27] := 1;
let M[3,73] := 1;
let M[3,33] := 1;
let M[4,50] := 1;
let M[4,79] := 1;
let M[4,7] := 1;
let M[4,72] := 1;
let M[4,47] := 1;
let M[4,19] := 1;
let M[4,34] := 1;
let M[4,68] := 1;
let M[4,9] := 1;
let M[4,66] := 1;
let M[5,22] := 1;
let M[5,10] := 1;
let M[5,20] := 1;
let M[5,39] := 1;
let M[5,17] := 1;
let M[5,37] := 1;
let M[5,28] := 1;
let M[5,3] := 1;
let M[6,57] := 1;
let M[6,16] := 1;
let M[6,48] := 1;
let M[6,72] := 1;
let M[6,37] := 1;
let M[6,35] := 1;
let M[6,55] := 1;
let M[6,58] := 1;
let M[6,28] := 1;
let M[7,15] := 1;
let M[7,47] := 1;
let M[7,50] := 1;
let M[7,4] := 1;
let M[7,79] := 1;
let M[7,9] := 1;
let M[7,66] := 1;
let M[7,38] := 1;
let M[7,34] := 1;
let M[7,72] := 1;
let M[7,68] := 1;
let M[7,19] := 1;
let M[8,72] := 1;
let M[8,56] := 1;
let M[9,37] := 1;
let M[9,38] := 1;
let M[9,35] := 1;
let M[9,28] := 1;
let M[9,47] := 1;
let M[9,50] := 1;
let M[9,19] := 1;
let M[9,79] := 1;
let M[9,66] := 1;
let M[9,7] := 1;
let M[9,72] := 1;
let M[9,4] := 1;
let M[9,68] := 1;
let M[9,15] := 1;
let M[9,34] := 1;
let M[10,5] := 1;
let M[10,37] := 1;
let M[10,22] := 1;
let M[10,20] := 1;
let M[10,39] := 1;
let M[10,17] := 1;
let M[11,42] := 1;
let M[11,72] := 1;
let M[12,14] := 1;
let M[13,43] := 1;
let M[14,37] := 1;
let M[14,80] := 1;
let M[14,41] := 1;
let M[14,65] := 1;
let M[14,32] := 1;
let M[14,24] := 1;
let M[14,12] := 1;
let M[14,2] := 1;
let M[14,75] := 1;
let M[14,1] := 1;
let M[15,79] := 1;
let M[15,72] := 1;
let M[15,7] := 1;
let M[15,19] := 1;
let M[15,48] := 1;
let M[15,57] := 1;
let M[15,33] := 1;
let M[15,37] := 1;
let M[15,59] := 1;
let M[15,68] := 1;
let M[15,9] := 1;
let M[15,34] := 1;
let M[15,66] := 1;
let M[15,26] := 1;
let M[15,38] := 1;
let M[15,76] := 1;
let M[15,23] := 1;
let M[15,77] := 1;
let M[15,29] := 1;
let M[16,6] := 1;
let M[16,35] := 1;
let M[16,48] := 1;
let M[16,72] := 1;
let M[16,57] := 1;
let M[16,55] := 1;
let M[16,58] := 1;
let M[17,22] := 1;
let M[17,10] := 1;
let M[17,20] := 1;
let M[17,5] := 1;
let M[17,39] := 1;
let M[17,37] := 1;
let M[18,44] := 1;
let M[18,57] := 1;
let M[18,48] := 1;
let M[19,15] := 1;
let M[19,38] := 1;
let M[19,68] := 1;
let M[19,50] := 1;
let M[19,79] := 1;
let M[19,9] := 1;
let M[19,34] := 1;
let M[19,72] := 1;
let M[19,47] := 1;
let M[19,4] := 1;
let M[19,66] := 1;
let M[19,7] := 1;
let M[20,5] := 1;
let M[20,37] := 1;
let M[20,22] := 1;
let M[20,10] := 1;
let M[20,39] := 1;
let M[20,17] := 1;
let M[22,5] := 1;
let M[22,37] := 1;
let M[22,10] := 1;
let M[22,20] := 1;
let M[22,39] := 1;
let M[22,17] := 1;
let M[23,15] := 1;
let M[23,77] := 1;
let M[24,14] := 1;
let M[25,3] := 1;
let M[25,63] := 1;
let M[25,40] := 1;
let M[25,69] := 1;
let M[25,27] := 1;
let M[25,73] := 1;
let M[25,33] := 1;
let M[26,59] := 1;
let M[26,77] := 1;
let M[26,15] := 1;
let M[26,29] := 1;
let M[27,3] := 1;
let M[27,63] := 1;
let M[27,40] := 1;
let M[27,69] := 1;
let M[27,25] := 1;
let M[27,73] := 1;
let M[27,33] := 1;
let M[28,30] := 1;
let M[28,59] := 1;
let M[28,72] := 1;
let M[28,9] := 1;
let M[28,6] := 1;
let M[28,35] := 1;
let M[28,55] := 1;
let M[28,44] := 1;
let M[28,58] := 1;
let M[28,64] := 1;
let M[28,57] := 1;
let M[28,46] := 1;
let M[28,31] := 1;
let M[28,3] := 1;
let M[28,5] := 1;
let M[28,37] := 1;
let M[28,43] := 1;
let M[29,37] := 1;
let M[29,59] := 1;
let M[29,15] := 1;
let M[29,77] := 1;
let M[29,26] := 1;
let M[29,36] := 1;
let M[29,45] := 1;
let M[30,37] := 1;
let M[30,28] := 1;
let M[30,59] := 1;
let M[31,28] := 1;
let M[31,37] := 1;
let M[32,14] := 1;
let M[33,59] := 1;
let M[33,15] := 1;
let M[33,3] := 1;
let M[33,63] := 1;
let M[33,40] := 1;
let M[33,69] := 1;
let M[33,25] := 1;
let M[33,27] := 1;
let M[33,73] := 1;
let M[34,47] := 1;
let M[34,50] := 1;
let M[34,19] := 1;
let M[34,79] := 1;
let M[34,48] := 1;
let M[34,38] := 1;
let M[34,7] := 1;
let M[34,72] := 1;
let M[34,4] := 1;
let M[34,68] := 1;
let M[34,9] := 1;
let M[34,66] := 1;
let M[34,15] := 1;
let M[35,9] := 1;
let M[35,16] := 1;
let M[35,48] := 1;
let M[35,6] := 1;
let M[35,28] := 1;
let M[35,44] := 1;
let M[35,37] := 1;
let M[35,55] := 1;
