,UB,LB,Epsilon,MasterTime,LLTime
0,[115421.07320947],358.28050417598695,-5.363366310100638,0.37274789810180664,0.013398170471191406
1,[15922.81656631],508.12297907767055,-1.9561054225044507,0.41603803634643555,0.1266770362854004
2,[11866.61639198],536.6179650796767,-1.6740013838321326,0.36109375953674316,0.07681894302368164
3,[6830.36034184],552.5158241865659,-1.2414172265869705,0.3580288887023926,0.060932159423828125
4,[6683.46192909],559.7091537592237,-1.2249175748734304,0.37894201278686523,0.20359492301940918
5,[1244.58074068],568.9297454854525,-0.3970702640274051,0.362579345703125,0.2061140537261963
6,[1419.70337396],574.7738102505639,-0.4454240960035831,0.3769869804382324,0.15398788452148438
7,[1225.93431648],577.2554515386356,-0.38815479942006426,0.3863401412963867,0.2808401584625244
8,[1068.71545089],578.3824827152137,-0.33540790037285606,0.4252281188964844,0.20244503021240234
9,[944.0775451],579.888565600204,-0.28681609624306215,0.43190789222717285,0.9105367660522461
10,[1017.47393081],580.6278505464072,-0.31525758672505955,0.40195679664611816,0.14735722541809082
11,[804.19070593],581.3852354823125,-0.22078151421911518,0.37961888313293457,0.1855330467224121
12,[724.13527481],582.0151098455659,-0.1731691219747311,0.44712305068969727,0.20995593070983887
13,[684.14125142],582.8163378480876,-0.14391231362247203,0.38913512229919434,0.8781039714813232
14,[652.97087942],583.8749120803143,-0.11614633671644503,0.3932008743286133,0.3076918125152588
15,[624.17225676],584.5340694631153,-0.08433775110759667,0.46679210662841797,0.6920921802520752
16,[615.15728834],585.2827950982943,-0.07135053031574778,0.4442119598388672,0.9371440410614014
17,[605.35912439],585.5895509104897,-0.05550189994671162,0.49138307571411133,0.49749016761779785
18,[601.25512903],585.9918001407934,-0.04719478365018315,0.5224580764770508,1.3546040058135986
19,[600.38562706],586.1837808156247,-0.0449691968744268,0.433459997177124,0.30019211769104004
20,[595.56628982],586.4569770303833,-0.03361793281986114,0.4207801818847656,0.2787630558013916
21,[593.37667425],586.8874539655898,-0.026786464483934624,0.42408299446105957,0.45989990234375
22,[593.39475405],587.6670145124709,-0.024573301542620163,0.4747300148010254,1.7584240436553955
23,[590.82202356],587.7584411827546,-0.015554736963969473,0.5088529586791992,3.3197360038757324
24,[590.84294323],587.7648734105072,-0.015611224658752088,0.5539178848266602,1.4630329608917236
25,[589.43417673],587.8025155963053,-0.009451486574639345,0.5023539066314697,1.3226039409637451
26,[588.99072812],587.8926605218489,-0.006752913930408333,0.4476180076599121,0.6312870979309082
27,[588.99800829],587.896540531783,-0.006773291593115349,0.4691140651702881,1.4569458961486816
28,[588.96136478],587.9381667020693,-0.00635183010395779,0.576045036315918,1.8395740985870361
29,[588.77918425],587.9736595611205,-0.005153597339728977,0.5505399703979492,0.5245387554168701
30,[588.36965231],588.0123533150104,-0.002445478918911892,0.43666720390319824,0.668870210647583
31,[588.35909757],588.0560748498435,-0.0021003678322069064,0.5016310214996338,2.6152281761169434
32,[588.38025986],588.067749606333,-0.002160144001537301,0.6025190353393555,0.7470428943634033
33,[588.37065003],588.0840458084102,-0.0019959694072737566,0.5468838214874268,2.1511070728302
34,[588.39264249],588.1027511432648,-0.002013438235034526,0.507716178894043,2.8164260387420654
35,[588.38754821],588.1123586839384,-0.0019152484817255289,0.5515179634094238,1.8535130023956299
36,[588.37788113],588.1285881652238,-0.001745105386386614,0.5138921737670898,3.6447150707244873
37,[588.31320729],588.1429232723548,-0.00121069767926274,0.5674469470977783,5.322739839553833
38,[588.27513855],588.1449010589726,-0.0009330607063744445,0.5677847862243652,3.995755195617676
39,[588.23427055],588.1467396183577,-0.0006325857157858383,0.6110363006591797,2.6182968616485596
40,[588.22309393],588.1498420547094,-0.0005311830500593917,0.5435888767242432,3.1904351711273193
41,[588.23487227],588.166187314263,-0.0004981267329597916,0.5511527061462402,3.547261953353882
42,[588.23790062],588.1758885989518,-0.0004500374645062255,0.6012489795684814,2.547329902648926
43,[588.2366284],588.1783483375059,-0.00042331406490303536,0.5023849010467529,3.1077539920806885
44,[588.20742486],588.1803069563024,-0.00019820491282085406,0.5682990550994873,4.700792074203491
45,[588.2045094],588.180353228871,-0.00017666724629994413,0.6068532466888428,4.036228895187378
46,[588.21407738],588.1812133263063,-0.00023994122065462697,0.5704231262207031,2.9711780548095703
47,[588.20973398],588.1812582779025,-0.0002081081988127842,0.5797340869903564,3.5725600719451904
48,[588.19650634],588.1820022480507,-0.00010633384280334113,0.5989031791687012,6.146971940994263
49,[588.19647457],588.1823590730913,-0.00010347253706033399,0.6254770755767822,6.0917699337005615
50,[588.19240137],588.182489642753,-7.271393797569914e-05,0.6072649955749512,7.789618968963623
51,[588.19219825],588.1824995100162,-7.115481735886497e-05,0.6275310516357422,5.339510202407837
52,[588.19179128],588.1829159330267,-6.512444955220076e-05,0.6190721988677979,6.234447002410889
53,[588.19141334],588.1834660773134,-5.831468808192852e-05,0.6110799312591553,6.1600282192230225
54,[588.19410365],588.1849950930862,-6.68289193699323e-05,0.6436400413513184,5.604771614074707
55,[588.1927215],588.1853354952301,-5.422166034740883e-05,0.6172242164611816,5.464416980743408
56,[588.19055904],588.1855923877454,-3.648421892488152e-05,0.6166188716888428,5.9662370681762695
57,[588.19155246],588.1858774181496,-4.167842659263954e-05,0.6395437717437744,7.309429883956909
58,[588.19004024],588.1859564255237,-3.000320137447332e-05,0.6191589832305908,7.799660921096802
59,[588.1904193],588.1861093867254,-3.1655631786753347e-05,0.6345911026000977,7.406044006347656
60,[588.19049538],588.1862431185306,-3.1232131332492585e-05,0.6039388179779053,7.854554891586304
61,[588.1901999],588.186420835493,-2.7762781294571326e-05,0.6282622814178467,12.767040967941284
62,[588.189048],588.1864711934961,-1.893541609510052e-05,0.6407859325408936,12.69628095626831
63,[588.18939664],588.1870240562952,-1.743930919739789e-05,0.5813097953796387,14.538283109664917
64,[588.18810807],588.1871005402343,-7.407957451910363e-06,0.5777428150177002,16.749531030654907
65,[588.1880531],588.1871025632878,-6.989052356631831e-06,0.6268222332000732,23.490717887878418
66,[588.18780878],588.1871598945402,-4.771767974309782e-06,0.5783190727233887,19.689011335372925
67,[588.18791984],588.1871807083996,-5.4352412199865086e-06,0.5667369365692139,26.62847113609314
68,[588.18793242],588.1871900473508,-5.458841631611477e-06,0.570991039276123,12.945672988891602
69,[588.18801995],588.1872266586696,-5.833529787668823e-06,0.5489218235015869,21.67454719543457
70,[588.1878374],588.1872563021602,-4.272682260220151e-06,0.632368803024292,16.634848833084106
71,[588.18759768],588.1872820305035,-2.3210384516580973e-06,0.5881831645965576,41.74358415603638
72,[588.18771089],588.187283327514,-3.143837978170083e-06,0.6027069091796875,17.228576183319092
73,[588.18743494],588.1872887344495,-1.075154050678151e-06,0.6352612972259521,14.350428104400635
74,[588.18756397],588.1872987609833,-1.9501795467391503e-06,0.6127221584320068,37.608410120010376
75,[588.18750941],588.1873127492061,-1.4461190926962075e-06,0.615440845489502,52.20622897148132
76,[588.1874246],588.1873291134801,-7.021903711823541e-07,0.5911500453948975,21.879476070404053
